Rsh,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
316.22776601683796,0.9306510895287421,20.528072352081345,70.2397971084753,13.418943003877127,0.7763527054108216,17.28459617690936,13.418943003877125
383.1186849557289,0.9317541404160116,20.550622569715472,71.81281531596456,13.750809558297533,0.7763527054108216,17.71206497054845,13.750809558297533
464.15888336127773,0.9326435556399431,20.56927297081371,73.10875185612402,14.025036651157722,0.7763527054108216,18.065289852678635,14.025036651157722
562.341325190349,0.9333639218190143,20.584692611221243,74.17862423412255,14.25194606547316,0.7789579158316633,18.296169505199657,14.25194606547316
681.2920690579615,0.9339494478762947,20.59743747400651,75.06254479547442,14.43975573802388,0.7789579158316633,18.53727325256989,14.439755738023878
825.4041852680182,0.934426731723119,20.60796903234224,75.79133459603847,14.594862294561361,0.7789579158316633,18.736393838400105,14.594862294561363
1000.0,0.9348166777975065,20.616669941400254,76.39233420451805,14.72294705906604,0.7789579158316633,18.90082475552857,14.722947059066042
1211.5276586285877,0.9351358606666884,20.623857245109363,76.8880292801346,14.828708746766575,0.7789579158316633,19.036598056692878,14.828708746766576
1467.799267622069,0.9353975164049495,20.629793451951493,77.29692416338962,14.916031947070524,0.7789579158316633,19.148700647255446,14.916031947070524
1778.2794100389228,0.9356122772343117,20.634695796922554,77.63425465167988,14.988127214936457,0.7789579158316633,19.241254129800083,14.988127214936457
2154.4346900318824,0.9357887249387723,20.638743968571966,77.91257069721067,15.047647382290128,0.7789579158316633,19.3176641208201,15.047647382290126
2610.157215682536,0.9359338136953689,20.64208654317816,78.14269824440805,15.096877657412195,0.781563126252505,19.316261412945344,15.096877657412193
3162.2776601683795,0.9360531970763403,20.64484633400828,78.33287369394024,15.137572800560742,0.781563126252505,19.36833032687131,15.137572800560742
3831.1868495572853,0.9361514835759062,20.64712483290684,78.4898063804702,15.171166378906776,0.781563126252505,19.411312879678153,15.171166378906774
4641.588833612777,0.9362324380551296,20.649005894357096,78.61931274985731,15.19889713044369,0.781563126252505,19.446794020747184,15.19889713044369
5623.413251903491,0.9362991417452484,20.65055878857973,78.72618977241542,15.221787888941074,0.781563126252505,19.476082452773323,15.221787888941074
6812.920690579608,0.9363541201423013,20.651840729939817,78.81439419618472,15.240683159426762,0.781563126252505,19.500258709112703,15.240683159426762
8254.041852680182,0.9363994457835423,20.652898969612888,78.88719010321688,15.256280172078645,0.781563126252505,19.52021488683909,15.256280172078647
10000.0,0.9364368212100089,20.653772526773956,78.9472704303368,15.269154540530158,0.781563126252505,19.53668747621679,15.269154540530158
12115.276586285876,0.9364676461872208,20.6544936201835,78.99685708689152,15.279781458126044,0.781563126252505,19.550284481038194,15.279781458126044
14677.992676220676,0.9364930723423756,20.655088851635117,79.0377834655632,15.288553205442371,0.781563126252505,19.561507819271135,15.288553205442371
17782.794100389227,0.9365140476902125,20.65558018401248,79.07156246070859,15.295793609229175,0.781563126252505,19.570771823090663,15.295793609229175
21544.346900318822,0.9365313529981041,20.655985749423053,79.09944255207043,15.301769982419728,0.781563126252505,19.578418515967805,15.301769982419728
26101.572156825332,0.9365456315400853,20.65632051680857,79.12245405635602,15.306702983223577,0.781563126252505,19.58473022725273,15.306702983223577
31622.776601683792,0.9365574134784488,20.656596843384367,79.14144727612074,15.310774755417029,0.781563126252505,19.589940007572043,15.310774755417027
