bulk_Nt,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
100000000000.0,1.0252881177540052,20.644140522085834,79.55550418922587,16.838870746185844,0.8649298597194388,19.468481238060093,16.838870746185844
177827941003.89227,1.014129945076267,20.644140522043113,79.4082587922526,16.624786876072726,0.8545090180360722,19.45536738076991,16.624786876072726
316227766016.83795,1.0029717710996677,20.64414052198614,79.25785110588865,16.4107265793262,0.8440881763527054,19.441957652145714,16.4107265793262
562341325190.3491,0.9918135958246795,20.64414052191017,79.10420013893979,16.1966951260992,0.8336673346693386,19.428247278662262,16.1966951260992
1000000000000.0,0.9806554192517792,20.64414052180886,78.94722195549214,15.982697936652468,0.823246492985972,19.414231427433254,15.982697936652468
1778279410038.9229,0.969497241381462,20.644140521673762,78.78682952039486,15.768740584344831,0.8128256513026052,19.399905206084988,15.768740584344831
3162277660168.3794,0.9583390622142037,20.644140521493608,78.62293253408849,15.554828798650345,0.8024048096192384,19.385263662653653,15.554828798650345
5623413251903.491,0.9471808817504977,20.644140521253362,78.45543725588499,15.34096846820116,0.7919839679358717,19.370301785507035,15.340968468201162
10000000000000.0,0.9360226999908289,20.644140520932993,78.28424631474138,15.127165643855117,0.781563126252505,19.35501450329155,15.127165643855118
17782794100389.227,0.9371881078645874,20.64414052054204,78.1488422947294,15.119802712613367,0.781563126252505,19.34559372716428,15.119802712613367
31622776601683.793,0.9380559495011642,20.644140520030888,78.00901579363757,15.106725833769296,0.781563126252505,19.32886202833559,15.106725833769298
56234132519034.91,0.9386262324683657,20.644140519362352,77.86645253333707,15.08828516514266,0.7789579158316633,19.369833541050134,15.08828516514266
100000000000000.0,0.9388989643312801,20.64414051848769,77.72062487668711,15.064403863143172,0.7789579158316633,19.339175527935282,15.064403863143173
177827941003892.28,0.9388741526520977,20.64414051734298,77.56930759638,15.034677071529327,0.7789579158316633,19.30101327165715,15.034677071529327
316227766016837.94,0.9385518049899378,20.64414051584438,77.41462264789806,14.999544021040666,0.7763527054108216,19.320527791686352,14.999544021040666
562341325190349.06,0.9379319289006762,20.644140513881904,77.25530191865793,14.958788466324831,0.7763527054108216,19.26803160737246,14.958788466324831
1000000000000000.0,0.9370145319367789,20.644140511311203,77.0931757617965,14.91279572559899,0.77374749498998,19.273465597186988,14.91279572559899
1778279410038922.8,0.9357996216471385,20.64414050794283,76.92562240551118,14.861090891940709,0.7711422845691382,19.27152898928902,14.86109089194071
3162277660168379.5,0.9342872055769342,20.644140503528057,76.75354281261109,14.803882814907729,0.7685370741482965,19.262418577937307,14.803882814907729
5623413251903491.0,0.9324772912674602,20.644140497740274,76.577275693669,14.741272761650803,0.7659318637274549,19.24619337536303,14.741272761650803
1e+16,0.9303698862560291,20.6441404901505,76.39664096935518,14.67326343422147,0.7633266533066132,19.222784073710983,14.67326343422147
1.7782794100389228e+16,0.9279649980758615,20.6441404801952,76.21096458239069,14.599764802518807,0.7607214428857715,19.1919985154291,14.599764802518807
3.162277660168379e+16,0.9252626342559309,20.644140467133905,76.01908703445972,14.520597223344536,0.7581162324649299,19.153523696666465,14.520597223344536
5.623413251903491e+16,0.9222628023211791,20.644140449993486,75.82411363169926,14.43639777195919,0.7529058116232464,19.17424138463571,14.43639777195919
1e+17,0.9189655097916641,20.6441404274948,75.6223261254084,14.346502838059086,0.7503006012024048,19.121006720596913,14.346502838059086
