iface_Nt,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
1000000000.0,0.9435874945321555,20.64414052116007,78.40117253129714,15.272197823460331,0.7867735470941883,19.41117349441341,15.272197823460331
1957341781.4876575,0.9428876016926059,20.644140521140873,78.39134342282115,15.258956637903934,0.7867735470941883,19.394343765445907,15.258956637903934
3831186849.557293,0.9420757466864079,20.644140521118164,78.37851687863662,15.243323660001776,0.7867735470941883,19.374474035509134,15.243323660001776
7498942093.324558,0.9411369178672343,20.644140521091305,78.36307039185681,15.225131781296062,0.7841683366733466,19.415642113127358,15.225131781296062
14677992676.220675,0.9400550330190356,20.644140521059533,78.3480371137648,15.20471226401937,0.7841683366733466,19.389602401598943,15.20471226401937
28729848333.536686,0.9388131598727668,20.644140521021956,78.32741252113573,15.180628610994775,0.7841683366733466,19.358890050821348,15.180628610994775
56234132519.034904,0.9373938339772947,20.64414052097751,78.3070861923166,15.153744593126174,0.781563126252505,19.389021928128102,15.153744593126172
110069417125.22125,0.9357794783756112,20.644140520924932,78.28027550821758,15.122467817796096,0.7789579158316633,19.41371608201763,15.122467817796096
215443469003.18866,0.9339529198307479,20.64414052086275,78.25355077644753,15.087797398407755,0.7789579158316633,19.369207362504426,15.087797398407755
421696503428.5823,0.9318979838402106,20.644140520789193,78.22189860879737,15.048511056188826,0.7763527054108216,19.38360097325303,15.048511056188826
825404185268.0206,0.9296001367265858,20.644140520702194,78.18562547013316,15.004443768525197,0.77374749498998,19.39191256279221,15.004443768525196
1615598098439.8762,0.9270471299836015,20.644140520599287,78.1452592109903,14.955510992373448,0.7711422845691382,19.393970855494672,14.955510992373446
3162277660168.3794,0.9242295927181585,20.64414052047757,78.10094187522373,14.901601591177837,0.7685370741482965,19.389567650580812,14.901601591177837
6189658188912.622,0.9211415153547474,20.6441405203336,78.05237938503497,14.842576963495635,0.7659318637274549,19.378456056473894,14.842576963495636
12115276586285.9,0.9177805737047565,20.644140520163308,77.99880255398239,14.77827020398908,0.7633266533066132,19.360348731400762,14.778270203989079
23713737056616.55,0.9141482572022158,20.644140519961887,77.93894255572182,14.708485318783787,0.7607214428857715,19.334916159307458,14.708485318783788
46415888336127.914,0.910249786537395,20.644140519723646,77.87710954159789,14.634140366215112,0.7555110220440882,19.369856877297988,14.634140366215112
90851757565168.8,0.9060938302027857,20.644140519441848,77.80841681009169,14.554475468603592,0.7529058116232464,19.331070691597535,14.554475468603593
177827941003892.28,0.9016920519038228,20.644140519108532,77.7370282142318,14.47048149403959,0.7476953907815631,19.35344482853325,14.47048149403959
348070058842842.0,0.8970585372150701,20.64414051871428,77.65889953528183,14.381653543134277,0.7424849699398798,19.369622450807025,14.381653543134275
681292069057962.2,0.8922091557866,20.644140518247955,77.5772947704732,14.288877507051781,0.7398797595190381,19.31243195021354,14.288877507051781
1333521432163324.0,0.8871609145086209,20.644140517696382,77.49276646952251,14.192548002648431,0.7346693386773547,19.318280014516002,14.19254800264843
2610157215682544.0,0.8819313489388161,20.64414051704397,77.40363020367724,14.092658113888712,0.7294589178356713,19.319330766017767,14.092658113888712
5108969774506935.0,0.8765379877546733,20.644140516272287,77.31044485267144,13.989613663286482,0.724248496993988,19.316041001604745,13.989613663286482
1e+16,0.8709979110011101,20.644140515359528,77.21354436637897,13.883769932221657,0.7190380761523046,19.308810468725213,13.883769932221657
