n,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
1.0,0.6241469373924963,20.644140519559,76.66162915587867,9.877833346183245,0.5080160320641283,19.443940196234472,9.877833346183245
1.05,0.6553404738927496,20.644140519802747,76.90864210076944,10.404924684012485,0.5366733466933867,19.38781709231602,10.404924684012485
1.1,0.6865326883713222,20.64414052000881,77.13095712808223,10.931675906610103,0.5627254509018036,19.426304406689606,10.931675906610103
1.15,0.7177235799017119,20.644140520184916,77.3276273948059,11.457469408769887,0.5913827655310621,19.374033327604792,11.457469408769887
1.2,0.7489131475561299,20.64414052033687,77.50979219437441,11.983531836836487,0.6174348697394789,19.40857639266929,11.983531836836487
1.25,0.7801013904056895,20.644140520469108,77.66988659176691,12.508364535680702,0.6434869739478958,19.438411408609998,12.508364535680702
1.3,0.8112883075203839,20.644140520585086,77.81900693289295,13.03339951002884,0.6721442885771542,19.390776253739986,13.03339951002884
1.35,0.8424738979690778,20.644140520687507,77.95200637375606,13.557529513810831,0.6981963927855711,19.4179311922836,13.557529513810833
1.4,0.8736581608195049,20.64414052077853,78.07351277151591,14.081277740496928,0.7268537074148297,19.372918644907546,14.081277740496928
1.45,0.9048410951382663,20.644140520859892,78.18486971047135,14.60467308510172,0.7529058116232464,19.397742532514663,14.60467308510172
1.5,0.9360226999908289,20.644140520932993,78.28424631474138,15.127165643855117,0.781563126252505,19.35501450329155,15.127165643855118
1.55,0.9672029744415228,20.644140520998995,78.37803430071092,15.649800200034711,0.8076152304609218,19.377792307239012,15.649800200034711
1.6,0.9983819175535397,20.644140521058844,78.46085321505795,16.171359790001034,0.8336673346693386,19.39785705579451,16.171359790001034
1.65,1.0295595283889307,20.64414052111334,78.53873551977657,16.69291468075246,0.8623246492985972,19.358039567035735,16.69291468075246
1.7000000000000002,1.0607358060086054,20.644140521163145,78.6086751034072,17.213711193891104,0.888376753507014,19.37658895951198,17.213711193891104
1.75,1.0919107494723475,20.644140521208826,78.67255128909103,17.734019525296826,0.9170340681362725,19.33845223584597,17.734019525296826
1.8,1.12308435783875,20.644140521250854,78.73170888277264,18.25403433321076,0.9430861723446894,19.355637765134233,18.25403433321076
1.85,1.1542566301652957,20.644140521289643,78.7838509207629,18.77311711844075,0.9717434869739479,19.319004830072046,18.77311711844075
1.9,1.1854275655083069,20.644140521325543,78.83388856152882,19.292334247213105,0.9977955911823647,19.334956395580114,19.292334247213105
1.9500000000000002,1.2165971629228847,20.64414052135886,78.87759650688052,19.8105838283885,1.0238476953907816,19.34915116532758,19.8105838283885
2.0,1.2477654214632394,20.64414052138985,78.91835768131118,20.328615030386615,1.0525050100200402,19.314506664438156,20.328615030386615
