T,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
280.0,1.0360556671518943,20.64414052219779,80.43010258913377,17.202775426218043,0.8805611222444889,19.53615142849978,17.202775426218043
285.0,1.0110970723959212,20.644140522162953,79.92368089783608,16.682653773508914,0.8571142284569138,19.463746160815873,16.682653773508914
290.0,0.9861049915121435,20.644140522059082,79.40056854724767,16.163804012150848,0.831062124248497,19.449573672686938,16.163804012150848
295.0,0.9610800116346176,20.644140521760658,78.85433578602952,15.645229184957934,0.8050100200400802,19.434825400283817,15.645229184957934
300.0,0.9360226999908289,20.644140520932993,78.28424631474138,15.127165643855117,0.781563126252505,19.35501450329155,15.127165643855118
305.0,0.9109336048973653,20.644140518713257,77.69316252023044,14.610542105045457,0.7555110220440882,19.33862204354823,14.610542105045457
310.0,0.8858132566907676,20.6441405129471,77.07360659567189,14.094337401502333,0.7294589178356713,19.321632866345233,14.094337401502333
315.0,0.860662168600612,20.644140498416988,76.4286570716758,13.579561560594607,0.7060120240480962,19.234178878049136,13.579561560594609
320.0,0.8354808375683578,20.64414046284818,75.75326717304836,13.065759716762864,0.6799599198396793,19.215485112480607,13.065759716762864
325.0,0.8102697450251249,20.644140378150897,75.04713380002097,12.553375993020655,0.6565130260521042,19.12129005041913,12.553375993020655
330.0,0.785029357635823,20.64414018171683,74.30674571673802,12.04234151473794,0.6304609218436874,19.100853197248036,12.04234151473794
335.0,0.7597601280333927,20.644139737467473,73.531523750682,11.533121146193867,0.6070140280561122,18.999760488447475,11.533121146193867
340.0,0.7344624955806289,20.644138756727333,72.71454300613492,11.025230363226383,0.5809619238476954,18.97754381252144,11.025230363226383
345.0,0.7091368872324192,20.64413664077437,71.86013369540557,10.51997777991659,0.5575150300601203,18.869406585831697,10.51997777991659
350.0,0.6837837186358419,20.6441321751825,70.95843015877553,10.01657819211606,0.5340681362725451,18.7552439694781,10.01657819211606
355.0,0.6584033957261043,20.644122947656243,70.00649462647773,9.515395215431349,0.5106212424849699,18.634938039639888,9.515395215431349
360.0,0.632996317294943,20.644104262041512,69.00370085426967,9.017156574876184,0.48456913827655307,18.6086068273913,9.017156574876184
365.0,0.6075628793962113,20.64406715069266,67.94429415755104,8.521959895096394,0.46112224448897793,18.48091259301652,8.521959895096394
370.0,0.5821034831314227,20.64399480298,66.82214524616498,8.029977956643261,0.4376753507014028,18.346881869803056,8.029977956643261
375.0,0.5566185485186974,20.643856260130764,65.632111378179,7.54162400886689,0.41422845691382765,18.206436286524326,7.54162400886689
380.0,0.5311085391024886,20.643595471328513,64.36824904544739,7.057328280765521,0.3907815631262525,18.059522113343565,7.057328280765521
