Jsc_ref,J0_ref,n,Rs,Rsh,T,bandgap,thickness,bulk_Nt,iface_Nt,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
30.64373629133578,2.0731719263694543e-10,1.8585979199113825,7.034206684781767,487.926825650666,377.5622351636756,1.7805698509951764,571.6385831661723,587059061632.8634,1421351739249.7847,0.6997188972232636,25.710298566433185,51.394792375691964,9.245913774072184,0.44549098196392783,20.75443532731453,9.245913774072184
28.224788145395486,6.029689748608127e-09,1.6438651200806644,8.263063810054133,2436.847758891197,302.7238721784777,1.6772923935079174,138.2903536625052,9242448343433214.0,26402849115540.55,0.8018157125946271,10.388946016314407,67.34359431835462,5.609734978593541,0.6044088176352705,9.28135860185072,5.609734978593541
30.54852644051224,1.1576516747459557e-10,1.9706980243949033,8.952586988957536,11396.381896120072,299.4638707851968,1.6333605018635171,126.28225947233727,842824113443.0875,60442535285257.67,0.0,10.487351789029999,0.0,10.467739666504109,1.0603206412825652,9.872239829116518,10.467739666504109
30.468572935446904,7.989676538770217e-09,1.325825358138152,3.8305051191417157,2748.6005087910976,298.94713590842855,1.4649607526677357,385.42295573556027,2298561320787.3105,48831263618946.47,0.7413626741916959,22.00659053015017,71.20939808899152,11.61771702686818,0.5705410821643286,20.362630124366778,11.61771702686818
28.622911513233984,3.1479990177253092e-09,1.7002651020022492,3.261193085544003,14605.606734167033,360.4764357496802,1.5937391895150872,272.9968623581465,1244437311294910.0,9511902396.778286,0.5185794731031205,17.093931212563508,59.13827961547086,5.242349368496144,0.362124248496994,14.476659296511212,5.242349368496144
27.19944921485065,1.0521721669668507e-11,1.7869243775021384,6.715538394601915,8134.4980101135725,358.0729031021968,1.6294578877691699,441.24471757173626,689893397716.458,6334473370.477649,1.0336232965538066,20.93341836241864,67.84153023589465,14.67905432023596,0.7659318637274549,19.1649610303447,14.67905432023596
30.01041777074283,2.5899335315803313e-10,1.5652361064811888,7.696988802677051,5880.803117956328,335.3579400657996,1.6796035803727067,282.3700588375673,153075965519.1738,1140306827476.2642,0.8771445217092562,18.27804048837362,66.13674698669459,10.60336277159845,0.6356713426853707,16.680573843088357,10.60336277159845
27.287508036917174,1.6810705158715584e-10,1.8534030732681661,2.4926069614803397,413.6237649304948,308.1383892021997,1.5467968788833417,497.14990883613706,219883638122798.38,307105407637364.9,1.0930447106777814,21.952077052101625,69.91588388806817,16.77603787110141,0.8935871743486974,18.773812284547216,16.77603787110141
29.985881241964325,1.6563823126217722e-10,1.8140203846660348,1.8363346150954984,351.09459709314467,289.0047860775642,1.7611796752982252,377.12633815083245,928176725789.5068,3215980640478.1343,1.2963194582804793,21.34382419951133,70.66104757465128,19.550791620577066,1.1124248496993987,17.574932478234473,19.550791620577066
26.91387261627901,1.2273293649724258e-09,1.4461562755740307,3.934008015745529,1267.722441276577,343.02825931188886,1.5809063052766952,152.5899515896606,510546628662.9376,5411076225389249.0,0.6164801450195372,10.696901647336716,67.95142576372454,4.481007492806137,0.47414829659318636,9.450645557524355,4.481007492806137
31.45148414424564,1.2563811197821117e-09,1.2658699614595195,9.697928498007695,11415.680568612563,351.68901891589957,1.6246807510718941,263.3449371070954,378744009922.3935,2080735015885537.0,0.5250409150616833,18.359682851860157,48.892177690611845,4.713002872721087,0.3152304609218437,14.950975419503003,4.713002872721087
28.734657739001666,4.04659829668074e-11,1.3059566241506526,5.876351775630581,713.7490872576467,365.66142840923754,1.779259764917605,531.6777735705621,39134360256968.95,24612848864634.625,0.5362556643585309,23.654487236508416,52.82901532172022,6.7012828123835755,0.3412825651302605,19.635584987547883,6.7012828123835755
