thickness,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
100.0,0.9007885018935371,8.498395085691387,78.67230007542332,6.022566426382678,0.7659318637274549,7.863057683843423,6.022566426382678
125.0,0.908157531995189,10.215970446554312,78.84784457753037,7.315274761447589,0.7711422845691382,9.486284059153709,7.315274761447589
150.0,0.9138886859320227,11.796216064013294,78.89327346045604,8.505032856015056,0.77374749498998,10.992000505442924,8.505032856015056
175.0,0.9185053749040264,13.250112218091642,78.8723282969494,9.598998411044555,0.7763527054108216,12.36422355991542,9.598998411044555
200.0,0.9223168222821628,14.587761254095865,78.81265817405361,10.603878730809816,0.7763527054108216,13.65858411635028,10.603878730809816
225.0,0.9255209822186924,15.818457778399845,78.7370398539376,11.527350325792918,0.7789579158316633,14.798425038771974,11.527350325792918
250.0,0.9282522216918222,16.950753241684026,78.64951293559179,12.37516609343774,0.7789579158316633,15.886822435362573,12.37516609343774
275.0,0.9306059145318193,17.992515358383905,78.55693167650993,13.153526456150663,0.7789579158316633,16.886055316746027,13.153526456150663
300.0,0.9326521853898443,18.9509827752217,78.46353603645484,13.86817538073645,0.7789579158316633,17.803497594513736,13.868175380736451
325.0,0.9344440845977556,19.832815368683654,78.37196365998152,14.52440721098215,0.781563126252505,18.5837928161028,14.52440721098215
350.0,0.9360226999908289,20.644140520932993,78.28424631474138,15.127165643855117,0.781563126252505,19.35501450329155,15.127165643855118
375.0,0.9374204874493125,21.39059569570526,78.20008219649235,15.68066690955555,0.781563126252505,20.063212276585176,15.680666909555548
400.0,0.9386635167766669,22.077367610022996,78.12002522643343,16.188984318312034,0.781563126252505,20.713597884199245,16.188984318312034
425.0,0.939773031065594,22.709228273912974,78.04434893419949,16.655850561535587,0.781563126252505,21.310947256939123,16.655850561535587
450.0,0.9407665569861926,23.290568148546893,77.97314482011033,17.084686098603818,0.781563126252505,21.859636828726423,17.084686098603818
475.0,0.9416587128287107,23.825426653203365,77.90638573672545,17.47862531028085,0.781563126252505,22.363676999564472,17.47862531028085
500.0,0.9424618080068735,24.317520233028,77.84396758196729,17.840540555503633,0.781563126252505,22.82674291588798,17.840540555503633
525.0,0.9431862954930266,24.770268182619258,77.7859536627474,18.173114841135153,0.7789579158316633,23.330034231351792,18.173114841135153
550.0,0.9438411185023339,25.186816404874406,77.73227405303645,18.478790557233225,0.7789579158316633,23.722450445226087,18.478790557233225
575.0,0.944433979803668,25.57005927018303,77.68241314125596,18.759706825488145,0.7789579158316633,24.083081311856404,18.759706825488145
600.0,0.9449715535286458,25.92265972785589,77.63615051402749,19.017888096423718,0.7789579158316633,24.41452575280534,19.017888096423718
625.0,0.9454596536385033,26.247067809532805,77.59326673335144,19.255190968092716,0.7789579158316633,24.71916720627287,19.255190968092716
650.0,0.9459033692989771,26.545537653139622,77.55354692009348,19.47331833825006,0.7789579158316633,24.99919179518081,19.47331833825006
675.0,0.9463071746908114,26.8201431656848,77.51678313709091,19.673832351493445,0.7789579158316633,25.256604948276895,19.673832351493445
700.0,0.9466750188570499,27.07279243372794,77.48277592449367,19.858166241191288,0.7789579158316633,25.493246602404046,19.858166241191288
