Rs,Voc,Jsc,FF,PCE,Vmp,Jmp,Pmax
0.2,0.9360226999913199,20.656526180740833,81.75109029313712,15.806554839084905,0.8128256513026052,19.44642718122132,15.806554839084905
0.6916666666666667,0.9360226999907434,20.653141585729298,80.80144361191216,15.620381031397892,0.8024048096192384,19.46695837829058,15.620381031397892
1.1833333333333333,0.9360226999908825,20.649758099608285,79.85533113032713,15.43495133606043,0.7945891783567134,19.425071164424097,15.43495133606043
1.675,0.9360226999908271,20.646375721812902,78.90925383626686,15.249589186634429,0.7867735470941883,19.382437606038156,15.249589186634429
2.166666666666667,0.93602269999083,20.64299445177265,77.9646419096086,15.064570893730837,0.7763527054108216,19.40428723792382,15.064570893730837
2.6583333333333337,0.936022699990831,20.6396142889097,77.02463609095192,14.880503052723066,0.7685370741482965,19.36211479350407,14.880503052723066
3.1500000000000004,0.9360226999908332,20.63623523263654,76.08550482155945,14.696664409456664,0.7607214428857715,19.31937708197807,14.696664409456664
3.641666666666667,0.9360226999908312,20.632857282352703,75.14765653874284,14.513133732118316,0.7529058116232464,19.276161118783712,14.513133732118316
4.133333333333334,0.9360226999908313,20.62948043743682,74.2123772257238,14.330159188465153,0.7424849699398798,19.300268380685857,14.330159188465151
4.625000000000001,0.9360226999908313,20.62610469726807,73.28133085041398,14.14806175944207,0.7346693386773547,19.25772727212655,14.148061759442072
5.116666666666667,0.9360226999907861,20.622730061162486,72.35225560894008,13.966404410678651,0.7268537074148297,19.21487676021132,13.966404410678651
5.608333333333333,0.93602269999083,20.619356528424117,71.42550289953944,13.785254746631493,0.7190380761523046,19.171800776391063,13.785254746631491
6.1000000000000005,0.9360226999908314,20.615984098303688,70.50140612241812,13.604676854409083,0.7112224448897795,19.12858199591472,13.604676854409083
6.591666666666668,0.9360226999908314,20.612612769990687,69.58027786704491,13.424730763971457,0.7034068136272544,19.085301000631787,13.424730763971457
7.083333333333334,0.9360226999907402,20.60924254258756,68.66240763175944,13.24547201152444,0.6955911823647294,19.04203553370987,13.24547201152444
7.575,0.9360226999908225,20.605873415124726,67.74806009289446,13.066951309368644,0.6877755511022043,18.998859858318628,13.066951309368642
8.066666666666666,0.9360226999908305,20.6025053864522,66.83747391991768,12.889214321271636,0.6799599198396793,18.95584422727541,12.889214321271636
8.558333333333334,0.9360226999908313,20.59913845527834,65.93086111255488,12.71230153882524,0.6721442885771542,18.913054465932603,12.71230153882524
9.05,0.9360226999907063,20.59577262007274,65.02840682166601,12.536248251078902,0.6643286573146292,18.870551666028273,12.536248251078902
9.541666666666666,0.936022699990534,20.592407879035317,64.13026960557198,12.361084598192596,0.6565130260521042,18.828391985647453,12.361084598192596
10.033333333333333,0.9360226999904008,20.58904422996427,63.23658206197207,12.186835697353848,0.6486973947895791,18.786626546121628,12.186835697353848
10.525,0.9360226999912971,20.585681670176598,62.34745177632003,12.013521829599952,0.6408817635270541,18.74530141641769,12.013521829599952
11.016666666666666,0.9360226999912151,20.582320196361067,61.46296252471226,11.841158675393292,0.633066132264529,18.70445767338162,11.841158675393292
11.508333333333333,0.9360226999911498,20.578959804386148,60.58317566975019,11.669757587246378,0.625250501002004,18.66413152575623,11.669757587246378
12.0,0.9360226999910973,20.57560048905594,59.70967749326276,11.499623597452363,0.6200400801603206,18.546581044372104,11.499623597452363
