Model,R2,MAE,RMSE
Linear Regression,0.9117737804612753,1.201713794895269,1.5811845116156984
Ridge Regression,0.9118295180755756,1.201262141784237,1.5806849697746135
Random Forest,0.9063253384280298,1.2931126908882256,1.6292764600657939
Gradient Boosting,0.958880199849143,0.8554470314628233,1.0794666119277745
XGBoost,0.956570321992703,0.8754526883798974,1.1093715424667443
